KOD;NAZEV;ORP_KOD;SPRAVNI_OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
2691;Adamov;1295;581291;06.06.2015 00:00:00;;24.11.1990 00:00:00
1074;Aö;507;554499;18.08.2020 00:00:00;;24.11.1990 00:00:00
957;BechynÏ;477;552054;28.11.2024 00:00:00;;24.11.1990 00:00:00
27;Beneöov;27;529303;19.06.2025 00:00:00;;24.11.1990 00:00:00
1571;Beneöov nad PlouËnicÌ;728;562351;02.12.2024 00:00:00;;24.11.1990 00:00:00
272;Ben·tky nad Jizerou;167;535451;18.07.2024 00:00:00;;24.11.1990 00:00:00
78;Beroun;51;531057;31.01.2024 00:00:00;;24.11.1990 00:00:00
1465;Bezdruûice;680;560740;08.07.2024 00:00:00;;24.11.1990 00:00:00
2704;Blansko;1295;581283;10.10.2023 00:00:00;;24.11.1990 00:00:00
914;Blatn·;434;550850;07.03.2025 00:00:00;;24.11.1990 00:00:00
1236;Blovice;591;557587;15.03.2022 00:00:00;;24.11.1990 00:00:00
3557;BohumÌn;1783;599051;31.03.2016 00:00:00;;24.11.1990 00:00:00
3212;Bojkovice;1619;592048;29.06.2020 00:00:00;;24.11.1990 00:00:00
1473;Bor;698;560758;12.03.2025 00:00:00;;24.11.1990 00:00:00
2712;Boskovice;1309;581372;17.12.2024 00:00:00;;24.11.1990 00:00:00
361;Brand˝s nad Labem-Star· Boleslav;213;538094;02.10.2024 00:00:00;;24.11.1990 00:00:00
2747;Brno;1317;582786;07.02.2024 00:00:00;;01.01.2003 00:00:00
2224;Broumov;1031;573922;06.04.2022 00:00:00;;24.11.1990 00:00:00
2861;Brumov-Bylnice;1449;585114;23.08.2016 00:00:00;;24.11.1990 00:00:00
3425;Brunt·l;1716;597180;30.11.2022 00:00:00;;24.11.1990 00:00:00
3263;BuËovice;1627;592943;20.01.2023 00:00:00;;24.11.1990 00:00:00
3379;Byst¯ice nad Pernötejnem;1678;595411;04.01.2023 00:00:00;;24.11.1990 00:00:00
3051;Byst¯ice pod Host˝nem;1520;588393;06.02.2024 00:00:00;;24.11.1990 00:00:00
2941;Bzenec;1481;586081;28.11.2023 00:00:00;;24.11.1990 00:00:00
1902;BÌlina;906;567451;07.06.2022 00:00:00;;24.11.1990 00:00:00
3603;BÌlovec;1830;599247;21.01.2021 00:00:00;;24.11.1990 00:00:00
281;BÏl· pod BezdÏzem;167;535443;19.06.2024 00:00:00;;24.11.1990 00:00:00
2810;B¯eclav;1384;584291;11.04.2023 00:00:00;;24.11.1990 00:00:00
485;B¯eznice;256;540013;21.02.2025 00:00:00;;24.11.1990 00:00:00
1082;Cheb;515;554481;08.04.2025 00:00:00;;24.11.1990 00:00:00
2038;Chlumec nad Cidlinou;965;570109;01.07.2022 00:00:00;;24.11.1990 00:00:00
2607;ChoceÚ;1252;580350;25.06.2025 00:00:00;;24.11.1990 00:00:00
1406;Chodov;671;560383;25.07.2018 00:00:00;;24.11.1990 00:00:00
1635;Chomutov;752;562971;11.11.2019 00:00:00;;24.11.1990 00:00:00
1970;ChotÏbo¯;931;568759;24.03.2023 00:00:00;;24.11.1990 00:00:00
2097;Chrast;981;571539;15.12.2023 00:00:00;;24.11.1990 00:00:00
1716;Chrastava;817;564117;22.06.2024 00:00:00;;24.11.1990 00:00:00
3069;ChropynÏ;1546;588512;16.06.2015 00:00:00;;24.11.1990 00:00:00
2101;Chrudim;981;571164;06.05.2025 00:00:00;;24.11.1990 00:00:00
2313;Chvaletice;1091;575071;23.12.2021 00:00:00;;24.11.1990 00:00:00
1511;Cvikov;701;561479;13.01.2023 00:00:00;;24.11.1990 00:00:00
701;DaËice;337;546127;24.10.2023 00:00:00;;24.11.1990 00:00:00
2364;Dobruöka;1104;576271;12.05.2025 00:00:00;;24.11.1990 00:00:00
1244;Dob¯any;621;557676;03.02.2020 00:00:00;;24.11.1990 00:00:00
493;Dob¯Ìö;248;540111;07.12.2024 00:00:00;;24.11.1990 00:00:00
1520;Doksy;710;561495;01.04.2019 00:00:00;;24.11.1990 00:00:00
1015;Domaûlice;485;553425;20.09.2024 00:00:00;;24.11.1990 00:00:00
1911;Duchcov;914;567515;12.04.2023 00:00:00;;24.11.1990 00:00:00
2534;Dv˘r Kr·lovÈ nad Labem;1201;579203;01.08.2023 00:00:00;;24.11.1990 00:00:00
1589;DÏËÌn;728;562335;13.06.2025 00:00:00;;24.11.1990 00:00:00
