KOD;NAZEV;VUSC_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3505;Liberec;78;CZ0513;03.02.2025 00:00:00;;11.04.1960 00:00:00
3506;Litomìøice;60;CZ0423;22.05.2025 00:00:00;;11.04.1960 00:00:00
3507;Louny;60;CZ0424;22.05.2025 00:00:00;;11.04.1960 00:00:00
3207;Mladá Boleslav;27;CZ0207;11.06.2025 00:00:00;;11.04.1960 00:00:00
3508;Most;60;CZ0425;01.11.2021 00:00:00;;11.04.1960 00:00:00
3206;Mìlník;27;CZ0206;11.06.2025 00:00:00;;11.04.1960 00:00:00
3804;Nový Jièín;132;CZ0804;25.05.2024 00:00:00;;11.04.1960 00:00:00
3208;Nymburk;27;CZ0208;24.03.2025 00:00:00;;11.04.1960 00:00:00
3605;Náchod;86;CZ0523;10.04.2025 00:00:00;;11.04.1960 00:00:00
3805;Olomouc;124;CZ0712;18.04.2024 00:00:00;;11.04.1960 00:00:00
3806;Opava;132;CZ0805;25.06.2024 00:00:00;;11.04.1960 00:00:00
3807;Ostrava-mìsto;132;CZ0806;02.01.2021 00:00:00;;11.04.1960 00:00:00
3606;Pardubice;94;CZ0532;11.06.2025 00:00:00;;11.04.1960 00:00:00
3304;Pelhøimov;108;CZ0633;17.01.2025 00:00:00;;11.04.1960 00:00:00
3406;Plzeò-jih;43;CZ0324;14.03.2025 00:00:00;;11.04.1960 00:00:00
3405;Plzeò-mìsto;43;CZ0323;30.12.2024 00:00:00;;11.04.1960 00:00:00
3407;Plzeò-sever;43;CZ0325;22.05.2025 00:00:00;;11.04.1960 00:00:00
3306;Prachatice;35;CZ0315;25.09.2024 00:00:00;;11.04.1960 00:00:00
3209;Praha-východ;27;CZ0209;24.03.2025 00:00:00;;11.04.1960 00:00:00
3210;Praha-západ;27;CZ020A;07.12.2024 00:00:00;;11.04.1960 00:00:00
3709;Prostìjov;124;CZ0713;05.12.2023 00:00:00;;11.04.1960 00:00:00
